go_id,go_name,go_definition,num_biomarkers,biomarkers
6325,chromatin organization,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA.",5,"AEBP2,CTR9,LMNB2,MBD2,RIOX2"
1902531,regulation of intracellular signal transduction,"Any process that modulates the frequency, rate or extent of intracellular signal transduction.",4,"ERBIN,RANBP9,SPATC1L,TGFB3"
1902680,positive regulation of RNA biosynthetic process,"Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process.",4,"CTR9,MBD2,NAA16,TGFB3"
43207,response to external biotic stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things.",4,"CTR9,CUBN,ERBIN,PLAA"
31967,organelle envelope,"A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes.",4,"BRI3BP,ERBIN,LMNB2,TRAK1"
19899,enzyme binding,"Binding to an enzyme, a protein with catalytic activity.",4,"ADAMTSL4,CTR9,RANBP9,RANGRF"
44419,biological process involved in interspecies interaction between organisms,Any process evolved to enable an interaction with an organism of a different species.,4,"CTR9,CUBN,ERBIN,PLAA"
44877,protein-containing complex binding,Binding to a macromolecular complex.,4,"CDCA5,MBD2,NAA16,TGFB3"
6793,phosphorus metabolic process,The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus.,4,"LEPR,NUS1,PDE7A,PLAA"
31410,cytoplasmic vesicle,A vesicle found in the cytoplasm of a cell.,4,"CUBN,PDIA4,TGFB3,TRAK1"
48584,positive regulation of response to stimulus,"Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus.",4,"ERBIN,MBD2,SPATC1L,TGFB3"
50793,regulation of developmental process,"Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).",4,"CTR9,PLAA,TGFB3,TRAK1"
6796,phosphate-containing compound metabolic process,"The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid.",4,"LEPR,NUS1,PDE7A,PLAA"
5694,chromosome,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.,4,"AEBP2,CDCA5,CTR9,MBD2"
45935,positive regulation of nucleobase-containing compound metabolic process,"Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids.",4,"CTR9,MBD2,NAA16,TGFB3"
10557,positive regulation of macromolecule biosynthetic process,"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",4,"CTR9,MBD2,NAA16,TGFB3"
1901363,heterocyclic compound binding,Binding to heterocyclic compound.,4,"CUBN,GNMT,MBD2,RANGRF"
51254,positive regulation of RNA metabolic process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA.",4,"CTR9,MBD2,NAA16,TGFB3"
8219,cell death,"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538).",4,"ADAMTSL4,NAA16,RASSF5,TGFB3"
9607,response to biotic stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism.",4,"CTR9,CUBN,ERBIN,PLAA"
51707,response to other organism,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism.",4,"CTR9,CUBN,ERBIN,PLAA"
97708,intracellular vesicle,Any vesicle that is part of the intracellular region.,4,"CUBN,PDIA4,TGFB3,TRAK1"
9891,positive regulation of biosynthetic process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances.",4,"CTR9,MBD2,NAA16,TGFB3"
6915,apoptotic process,"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.",4,"ADAMTSL4,NAA16,RASSF5,TGFB3"
12501,programmed cell death,A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.,4,"ADAMTSL4,NAA16,RASSF5,TGFB3"
60341,regulation of cellular localization,"Any process that modulates the frequency, rate or extent of a process in which a cell, a substance, or a cellular entity is transported to, or maintained in a specific location within or in the membrane of a cell.",4,"NUS1,RANGRF,RASSF5,TGFB3"
45893,positive regulation of DNA-templated transcription,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.",4,"CTR9,MBD2,NAA16,TGFB3"
51246,regulation of protein metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein.",4,"LEPR,PLAA,RANBP9,RASSF5"
15630,microtubule cytoskeleton,The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins.,4,"MAP7,RANBP9,RASSF5,SPATC1L"
30054,cell junction,"A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella.",3,"ERBIN,PLAA,RANGRF"
30029,actin filament-based process,"Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins.",3,"RANGRF,SPATC1L,TGFB3"
42981,regulation of apoptotic process,Any process that modulates the occurrence or rate of cell death by apoptotic process.,3,"ADAMTSL4,NAA16,TGFB3"
43230,extracellular organelle,"Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi.",3,"CUBN,NAA16,PLAA"
1903561,extracellular vesicle,Any vesicle that is part of the extracellular region.,3,"CUBN,NAA16,PLAA"
60090,molecular adaptor activity,"The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way.",3,"AEBP2,MBD2,RIOX2"
70062,extracellular exosome,"A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm.",3,"CUBN,NAA16,PLAA"
99080,supramolecular complex,"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber.",3,"LMNB2,MAP7,RASSF5"
43067,regulation of programmed cell death,"Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.",3,"ADAMTSL4,NAA16,TGFB3"
51128,regulation of cellular component organization,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.",3,"PLAA,TGFB3,TRAK1"
9056,catabolic process,A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.,3,"LEPR,PDE7A,PLAA"
65010,extracellular membrane-bounded organelle,"Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell.",3,"CUBN,NAA16,PLAA"
2683,negative regulation of immune system process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune system process.",3,"ERBIN,RASSF5,TGFB3"
33365,protein localization to organelle,"A process in which a protein is transported to, or maintained in, a location within an organelle.",3,"LMNB2,RANGRF,RASSF5"
1816,cytokine production,"The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels.",3,"ERBIN,TGFB3,ZBTB2"
51240,positive regulation of multicellular organismal process,"Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs.",3,"LEPR,TGFB3,TRAK1"
141124,intracellular signaling cassette,An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways.,3,"PDE7A,RANBP9,TGFB3"
97435,supramolecular fiber organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure.",3,"RANBP9,SPATC1L,TGFB3"
34097,response to cytokine,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus.",3,"CTR9,ERBIN,LEPR"
23057,negative regulation of signaling,"Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process.",3,"ERBIN,RANBP9,TGFB3"
71495,cellular response to endogenous stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism.",3,"LEPR,NUS1,TGFB3"
1901652,response to peptide,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus.",3,"CTR9,ERBIN,LEPR"
48585,negative regulation of response to stimulus,"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus.",3,"ERBIN,RANBP9,TGFB3"
9968,negative regulation of signal transduction,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction.",3,"ERBIN,RANBP9,TGFB3"
10648,negative regulation of cell communication,"Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.",3,"ERBIN,RANBP9,TGFB3"
16604,nuclear body,Membraneless organelle present in the nucleoplasm and usually visible by confocal microscopy.,3,"CTR9,ERBIN,RANBP9"
51640,organelle localization,"Any process in which an organelle is transported to, and/or maintained in, a specific location.",3,"CDCA5,LMNB2,TRAK1"
140535,intracellular protein-containing complex,A protein-containing complex located intracellularly.,3,"CTR9,NAA16,RANBP9"
1817,regulation of cytokine production,"Any process that modulates the frequency, rate, or extent of production of a cytokine.",3,"ERBIN,TGFB3,ZBTB2"
65008,regulation of biological quality,"Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc.",3,"ERBIN,NAA16,RANGRF"
51656,establishment of organelle localization,The directed movement of an organelle to a specific location.,3,"CDCA5,LMNB2,TRAK1"
7049,cell cycle,"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division.",2,"CDCA5,RANGRF"
278,mitotic cell cycle,"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent.",2,"CDCA5,RANGRF"
1903047,mitotic cell cycle process,A process that is part of the mitotic cell cycle.,2,"CDCA5,RANGRF"
1901265,nucleoside phosphate binding,Binding to nucleoside phosphate.,2,"MBD2,RANGRF"
3682,chromatin binding,"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",2,"CDCA5,MBD2"
70161,anchoring junction,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix.,2,"ERBIN,RANGRF"
5740,mitochondrial envelope,The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space.,2,"BRI3BP,TRAK1"
51301,cell division,"The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells.",2,"CDCA5,TGFB3"
166,nucleotide binding,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",2,"MBD2,RANGRF"
15980,energy derivation by oxidation of organic compounds,The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released.,2,"GNMT,LEPR"
30674,protein-macromolecule adaptor activity,"An adaptor activity that brings together two or more macromolecules in contact, permitting those molecules to function in a coordinated way. The adaptor can bring together two proteins, or a protein and another macromolecule such as a lipid or a nucleic acid.",2,"AEBP2,RIOX2"
22402,cell cycle process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.,2,"CDCA5,RANGRF"
30097,hemopoiesis,"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates.",2,"CTR9,LEPR"
140096,"catalytic activity, acting on a protein",Catalytic activity that acts to modify a protein.,2,"PDIA4,RIOX2"
48193,Golgi vesicle transport,"The directed movement of substances into, out of or within the Golgi apparatus, mediated by vesicles.",2,"CCDC91,RANGRF"
32970,regulation of actin filament-based process,"Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton.",2,"RANGRF,TGFB3"
30234,enzyme regulator activity,A molecular function regulator that modulates a catalytic activity.,2,"PLAA,RANGRF"
31966,mitochondrial membrane,Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope.,2,"BRI3BP,TRAK1"
98588,bounding membrane of organelle,The lipid bilayer that forms the outer-most layer of an organelle.,2,"BRI3BP,CUBN"
43168,anion binding,"Binding to an anion, a charged atom or group of atoms with a net negative charge.",2,"GNMT,RANGRF"
51276,chromosome organization,"A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.",2,"CDCA5,RANGRF"
45944,positive regulation of transcription by RNA polymerase II,"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.",2,"CTR9,TGFB3"
5739,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",2,"BRI3BP,TRAK1"
33554,cellular response to stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).",2,"CDCA5,PDIA4"
5635,nuclear envelope,"The double lipid bilayer that encloses the nucleus, separating its contents from the cytoplasm. It consists of an inner and outer nuclear membrane, with an intermembrane space (20-40 nm wide, also called the perinuclear space) between them. The envelope is supported by the nuclear lamina and contains nuclear pore complexes, which regulate molecular transport.",2,"ERBIN,LMNB2"
72659,protein localization to plasma membrane,"A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane.",2,"MAP7,RANGRF"
43068,positive regulation of programmed cell death,"Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.",2,"ADAMTSL4,TGFB3"
46649,lymphocyte activation,"A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor.",2,"LEPR,RASSF5"
5768,endosome,A vacuole to which materials ingested by endocytosis are delivered.,2,"CUBN,TRAK1"
32446,protein modification by small protein conjugation,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein.",2,"PLAA,RASSF5"
7015,actin filament organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking.",2,"SPATC1L,TGFB3"
5874,microtubule,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",2,"MAP7,RASSF5"
51130,positive regulation of cellular component organization,"Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.",2,"TGFB3,TRAK1"
70647,protein modification by small protein conjugation or removal,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein.",2,"PLAA,RASSF5"
5794,Golgi apparatus,"A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways.",2,"CCDC91,CUBN"
31984,organelle subcompartment,"A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle.",2,"CCDC91,NUS1"
1902532,negative regulation of intracellular signal transduction,"Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction.",2,"ERBIN,RANBP9"
43687,post-translational protein modification,The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome.,2,"PLAA,RASSF5"
30036,actin cytoskeleton organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.",2,"SPATC1L,TGFB3"
6897,endocytosis,A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle.,2,"CUBN,LEPR"
16607,nuclear speck,"A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.",2,"CTR9,ERBIN"
43066,negative regulation of apoptotic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process.",2,"NAA16,TGFB3"
1775,cell activation,A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell.,2,"LEPR,RASSF5"
61919,process utilizing autophagic mechanism,"A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway.",2,"LEPR,PLAA"
45321,leukocyte activation,"A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor.",2,"LEPR,RASSF5"
16567,protein ubiquitination,The process in which one or more ubiquitin groups are added to a protein.,2,"PLAA,RASSF5"
6914,autophagy,"The cellular catabolic process in which cells digest cellular materials, such as organelles and other macromolecular constituents, or non-self materials such as intracellular pathogens. Autophagy serves to provide essential nutrients under conditions of cellular stress; or can remodel intracellular structures during cell differentiation.",2,"LEPR,PLAA"
43069,negative regulation of programmed cell death,"Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.",2,"NAA16,TGFB3"
43065,positive regulation of apoptotic process,"Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process.",2,"ADAMTSL4,TGFB3"
6952,defense response,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.",2,"ERBIN,PLAA"
1902533,positive regulation of intracellular signal transduction,"Any process that activates or increases the frequency, rate or extent of intracellular signal transduction.",2,"SPATC1L,TGFB3"
2694,regulation of leukocyte activation,"Any process that modulates the frequency, rate, or extent of leukocyte activation.",1,RASSF5
6913,nucleocytoplasmic transport,The directed movement of molecules between the nucleus and the cytoplasm.,1,RANGRF
51249,regulation of lymphocyte activation,"Any process that modulates the frequency, rate or extent of lymphocyte activation.",1,RASSF5
6354,DNA-templated transcription elongation,The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase.,1,CTR9
1903706,regulation of hemopoiesis,"Any process that modulates the frequency, rate or extent of hemopoiesis.",1,CTR9
45637,regulation of myeloid cell differentiation,"Any process that modulates the frequency, rate or extent of myeloid cell differentiation.",1,CTR9
17076,purine nucleotide binding,"Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate.",1,RANGRF
6886,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",1,RANGRF
35639,purine ribonucleoside triphosphate binding,"Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar.",1,RANGRF
9057,macromolecule catabolic process,"The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",1,PLAA
51169,nuclear transport,"The directed movement of substances into, out of, or within the nucleus.",1,RANGRF
6259,DNA metabolic process,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.",1,CDCA5
32555,purine ribonucleotide binding,"Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.",1,RANGRF
43161,proteasome-mediated ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome.",1,PLAA
19941,modification-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein.",1,PLAA
10498,proteasomal protein catabolic process,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome.,1,PLAA
32553,ribonucleotide binding,"Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.",1,RANGRF
6508,proteolysis,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,1,PLAA
6511,ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein.",1,PLAA
51603,proteolysis involved in protein catabolic process,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.,1,PLAA
209,protein polyubiquitination,"Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain.",1,PLAA
1901990,regulation of mitotic cell cycle phase transition,"Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition.",1,CDCA5
43632,modification-dependent macromolecule catabolic process,"The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule.",1,PLAA
5769,early endosome,A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways.,1,TRAK1
6888,endoplasmic reticulum to Golgi vesicle-mediated transport,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",1,RANGRF
72384,organelle transport along microtubule,"The directed movement of an organelle along a microtubule, mediated by motor proteins. This process begins with the attachment of an organelle to a microtubule, and ends when the organelle reaches its final destination.",1,TRAK1
6997,nucleus organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nucleus.",1,LMNB2
5938,cell cortex,"The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins.",1,TRAK1
51650,establishment of vesicle localization,The directed movement of a vesicle to a specific location.,1,TRAK1
61024,membrane organization,"A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins.",1,LMNB2
10256,endomembrane system organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system.",1,LMNB2
118,histone deacetylase complex,A protein complex that possesses histone deacetylase activity.,1,MBD2
98687,chromosomal region,Any subdivision of a chromosome along its length.,1,CDCA5
3729,mRNA binding,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.",1,MBD2
6281,DNA repair,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.",1,CDCA5
1901987,regulation of cell cycle phase transition,"Any process that modulates the frequency, rate or extent of cell cycle phase transition.",1,CDCA5
50865,regulation of cell activation,"Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand.",1,RASSF5
6302,double-strand break repair,The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix.,1,CDCA5
22411,cellular component disassembly,A cellular process that results in the breakdown of a cellular component.,1,TGFB3
6974,DNA damage response,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism.",1,CDCA5
32956,regulation of actin cytoskeleton organization,"Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.",1,TGFB3
775,"chromosome, centromeric region","The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome.",1,CDCA5
1902903,regulation of supramolecular fiber organization,"Any process that modulates the frequency, rate or extent of supramolecular fiber organization.",1,TGFB3
30163,protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds.",1,PLAA
110053,regulation of actin filament organization,"Any process that modulates the frequency, rate or extent of actin filament organization.",1,TGFB3
10638,positive regulation of organelle organization,"Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle.",1,TGFB3
